unitid,institution name,year,Fac_Total,Fac_AmerIn_AlaNative,FacPer_AmerIn_AlaNative,Fac_Asian,FacPer_Asian,Fac_AfrAmer,FacPer_AfrAmer,Fac_Hispanic,FacPer_Hispanic,Fac_NativeHai_PI,FacPer_NativeHai_PI,Fac_White,FacPer_White,Fac_Two_or_More,FacPer_Two_or_More,Fac_BiPOC,FacPer_BiPOC
235024,Cornish College of the Arts,2019,52,0,0,3,0.057692308,3,0.057692308,3,0.057692308,0,0,36,0.692307692,2,0.038461538,11,0.211538462
235097,Eastern Washington University,2019,460,4,0.008695652,36,0.07826087,10,0.02173913,17,0.036956522,0,0,370,0.804347826,13,0.02826087,80,0.173913043
235167,The Evergreen State College,2019,127,3,0.023622047,11,0.086614173,3,0.023622047,8,0.062992126,0,0,92,0.724409449,5,0.039370079,30,0.236220472
235316,Gonzaga University,2019,454,4,0.008810573,21,0.046255507,7,0.015418502,20,0.044052863,0,0,372,0.81938326,4,0.008810573,56,0.123348018
235422,Heritage University,2019,67,4,0.059701493,1,0.014925373,3,0.044776119,6,0.089552239,1,0.014925373,49,0.731343284,2,0.029850746,17,0.253731343
235547,Bastyr University,2019,28,0,0,5,0.178571429,0,0,0,0,0,0,20,0.714285714,0,0,5,0.178571429
236133,Northwest University,2019,56,0,0,4,0.071428571,2,0.035714286,0,0,0,0,46,0.821428571,3,0.053571429,9,0.160714286
236230,Pacific Lutheran University,2019,214,0,0,16,0.074766355,3,0.014018692,12,0.056074766,0,0,174,0.813084112,4,0.018691589,35,0.163551402
236328,University of Puget Sound,2019,237,0,0,14,0.05907173,8,0.033755274,10,0.042194093,0,0,163,0.687763713,4,0.016877637,36,0.151898734
236452,Saint Martin's University,2019,96,1,0.010416667,6,0.0625,2,0.020833333,3,0.03125,0,0,76,0.791666667,4,0.041666667,16,0.166666667
236577,Seattle Pacific University,2019,202,0,0,20,0.099009901,8,0.03960396,8,0.03960396,0,0,140,0.693069307,2,0.00990099,38,0.188118812
236595,Seattle University,2019,522,3,0.005747126,72,0.137931034,19,0.036398467,29,0.055555556,0,0,296,0.567049808,3,0.005747126,126,0.24137931
236896,Walla Walla University,2019,91,0,0,2,0.021978022,1,0.010989011,6,0.065934066,0,0,78,0.857142857,2,0.021978022,11,0.120879121
236939,Washington State University,2019,1332,5,0.003753754,115,0.086336336,13,0.00975976,49,0.036786787,3,0.002252252,714,0.536036036,16,0.012012012,201,0.150900901
236948,University of Washington-Seattle Campus,2019,4403,16,0.003633886,703,0.159663866,84,0.019077901,192,0.043606632,4,0.000908471,2846,0.64637747,83,0.018850784,1082,0.24574154
237011,Western Washington University,2019,664,4,0.006024096,45,0.067771084,9,0.013554217,36,0.054216867,1,0.001506024,466,0.701807229,22,0.03313253,117,0.176204819
237057,Whitman College,2019,196,0,0,10,0.051020408,5,0.025510204,8,0.040816327,1,0.005102041,138,0.704081633,2,0.010204082,26,0.132653061
237066,Whitworth University,2019,187,0,0,7,0.037433155,2,0.010695187,9,0.048128342,0,0,168,0.898395722,0,0,18,0.096256684
377555,University of Washington-Bothell Campus,2019,215,1,0.004651163,39,0.181395349,9,0.041860465,13,0.060465116,1,0.004651163,118,0.548837209,6,0.027906977,69,0.320930233
377564,University of Washington-Tacoma Campus,2019,271,2,0.007380074,36,0.132841328,10,0.036900369,21,0.077490775,2,0.007380074,158,0.58302583,7,0.025830258,78,0.287822878
380377,Northwest Indian College,2019,26,12,0.461538462,2,0.076923077,0,0,1,0.038461538,0,0,10,0.384615385,1,0.038461538,16,0.615384615
