institute_id,year,gr_total,gr_AmerInd_AlaskNtv,gr_Asian,gr_AfrAmer,gr_Hispanic,gr_Hi_PacIsland,gr_White,gr_2orMore,gr_unknown,gr_nonresAlien,co_total,co_AmerInd_AlaskNtv,co_Asian,co_AfrAmer,co_Hispanic,co_Hi_PacIsland,co_White,co_2orMore,co_unknown,co_nonresAlien
234933,2019,819,3.0,27.0,22.0,89.0,6.0,543.0,81.0,41.0,7.0,250.0,1.0,10.0,2.0,20.0,2.0,182.0,17.0,15.0,1.0
234933,2020,950,6.0,33.0,11.0,86.0,10.0,676.0,86.0,33.0,9.0,320.0,0.0,11.0,2.0,27.0,1.0,239.0,25.0,13.0,2.0
234951,2014,250,5.0,10.0,42.0,13.0,1.0,155.0,8.0,15.0,1.0,80.0,0.0,4.0,8.0,4.0,0.0,59.0,2.0,3.0,0.0
234951,2015,239,2.0,9.0,53.0,7.0,0.0,149.0,5.0,14.0,0.0,82.0,1.0,6.0,15.0,2.0,0.0,52.0,2.0,4.0,0.0
234951,2016,170,0.0,1.0,36.0,5.0,1.0,100.0,3.0,23.0,1.0,62.0,0.0,0.0,8.0,2.0,0.0,42.0,2.0,8.0,0.0
234951,2017,231,2.0,11.0,57.0,15.0,3.0,130.0,8.0,5.0,0.0,76.0,1.0,5.0,12.0,5.0,1.0,49.0,2.0,1.0,0.0
234951,2018,234,3.0,11.0,43.0,6.0,4.0,158.0,8.0,1.0,0.0,97.0,1.0,6.0,8.0,2.0,0.0,77.0,3.0,0.0,0.0
234951,2019,251,5.0,17.0,33.0,16.0,6.0,153.0,15.0,6.0,0.0,88.0,2.0,8.0,5.0,5.0,1.0,61.0,4.0,2.0,0.0
234951,2020,290,4.0,14.0,44.0,32.0,7.0,151.0,28.0,9.0,1.0,100.0,1.0,5.0,10.0,12.0,0.0,55.0,12.0,4.0,1.0
234979,2010,501,7.0,0.0,8.0,96.0,13.0,371.0,0.0,5.0,1.0,162.0,3.0,0.0,0.0,27.0,4.0,127.0,0.0,1.0,0.0
