institute_id,year,e_total,e_AmerInd_AlaskNtv,e_Asian,e_AfrAmer,e_Hispanic,e_Hi_PacIsland,e_White,e_2orMore,e_unknown,e_nonresAlien,c_total,c_AmerInd_AlaskNtv,c_Asian,c_AfrAmer,c_Hispanic,c_Hi_PacIsland,c_White,c_2orMore,c_unknown,c_nonresAlien
235103,2015,8571.0,61.0,1140.0,515.0,748.0,45.0,3855.0,475.0,645.0,1087.0,2402,46,333,145,150,15,1216,107,153,237
235103,2016,8348.0,90.0,1111.0,496.0,648.0,34.0,3842.0,465.0,529.0,1133.0,2228,15,279,117,164,9,1093,110,152,289
235103,2017,8100.0,70.0,1006.0,545.0,743.0,41.0,3611.0,446.0,558.0,1080.0,1926,9,250,102,128,9,901,104,135,288
235103,2018,8041.0,55.0,1007.0,574.0,858.0,41.0,3486.0,509.0,526.0,985.0,1897,38,284,131,141,11,844,89,109,250
235103,2019,7877.0,50.0,1028.0,614.0,833.0,50.0,3334.0,500.0,600.0,868.0,1909,11,259,112,139,13,814,110,114,337
235103,2020,6545.0,36.0,888.0,505.0,734.0,34.0,2671.0,505.0,569.0,603.0,1767,14,224,123,118,9,781,94,141,263
235167,2014,4219.0,109.0,91.0,227.0,324.0,13.0,2768.0,314.0,354.0,19.0,1327,41,24,69,88,6,896,79,115,9
235167,2015,4190.0,101.0,116.0,205.0,406.0,14.0,2748.0,337.0,249.0,14.0,1179,25,23,75,65,4,800,78,100,9
235167,2016,4089.0,102.0,112.0,198.0,422.0,14.0,2717.0,317.0,179.0,28.0,1160,33,23,64,87,3,756,96,90,8
235167,2017,3907.0,111.0,102.0,193.0,421.0,18.0,2573.0,302.0,165.0,22.0,1032,24,29,61,96,2,687,59,67,7
235167,2018,3327.0,109.0,86.0,171.0,388.0,16.0,2162.0,228.0,152.0,15.0,1055,31,27,53,96,4,697,83,50,14
235167,2019,2854.0,109.0,77.0,145.0,357.0,11.0,1814.0,185.0,143.0,13.0,998,29,24,56,95,7,667,67,49,4
235167,2020,2281.0,103.0,58.0,121.0,283.0,11.0,1427.0,145.0,126.0,7.0,914,39,26,50,95,5,606,56,34,3
235237,2014,5927.0,44.0,349.0,664.0,683.0,80.0,2944.0,536.0,392.0,235.0,1159,7,56,135,132,21,576,103,49,80
235237,2015,5559.0,43.0,337.0,567.0,622.0,71.0,2736.0,496.0,414.0,273.0,1358,8,56,124,128,10,716,113,117,86
235237,2016,6068.0,49.0,342.0,639.0,759.0,74.0,2854.0,607.0,470.0,274.0,1320,16,68,119,137,15,690,130,70,75
235237,2017,6048.0,48.0,352.0,576.0,813.0,85.0,2794.0,690.0,436.0,254.0,1375,9,81,145,154,18,692,117,79,80
235237,2018,6067.0,37.0,371.0,530.0,908.0,88.0,2813.0,769.0,358.0,193.0,1518,16,88,131,184,12,736,146,108,97
235237,2019,6195.0,43.0,415.0,532.0,1048.0,83.0,2787.0,851.0,282.0,154.0,1303,12,73,111,136,14,638,161,75,83
235237,2020,8329.0,41.0,646.0,626.0,1370.0,132.0,4053.0,947.0,361.0,153.0,1734,8,134,133,254,22,838,203,87,55
235316,2014,7352.0,57.0,289.0,119.0,561.0,27.0,5131.0,307.0,420.0,441.0,2114,24,47,50,168,9,1499,67,104,146
235316,2015,7491.0,58.0,313.0,123.0,629.0,35.0,5237.0,350.0,451.0,295.0,2073,15,82,36,124,6,1427,81,139,163
235316,2016,7567.0,62.0,339.0,127.0,659.0,22.0,5257.0,372.0,421.0,308.0,1997,23,62,34,153,14,1385,82,76,168
235316,2017,7506.0,61.0,322.0,128.0,691.0,25.0,5274.0,389.0,381.0,235.0,2086,18,86,33,159,7,1464,100,112,107
235316,2018,7563.0,57.0,351.0,132.0,716.0,27.0,5284.0,421.0,368.0,207.0,1999,19,73,39,143,4,1387,80,110,144
235316,2019,7537.0,58.0,378.0,131.0,688.0,32.0,5253.0,449.0,359.0,189.0,2200,16,91,35,205,7,1520,105,122,99
235316,2020,7295.0,49.0,371.0,156.0,723.0,21.0,5036.0,470.0,298.0,171.0,2087,21,92,30,167,10,1468,109,96,94
235334,2014,2006.0,66.0,41.0,71.0,199.0,11.0,1369.0,142.0,106.0,1.0,583,17,11,39,47,4,418,26,20,1
235334,2015,1804.0,74.0,40.0,65.0,202.0,7.0,1196.0,139.0,80.0,1.0,567,14,17,29,61,5,388,32,21,0
235334,2016,1973.0,73.0,47.0,71.0,230.0,6.0,1201.0,173.0,171.0,1.0,556,19,14,37,60,2,373,28,22,1
235334,2017,1971.0,55.0,44.0,70.0,242.0,6.0,1207.0,171.0,173.0,3.0,564,27,13,29,63,2,363,35,32,0
235334,2018,1868.0,53.0,35.0,53.0,247.0,12.0,1126.0,172.0,163.0,7.0,555,19,16,28,75,3,344,42,27,1
235334,2019,1853.0,53.0,27.0,81.0,267.0,7.0,1096.0,166.0,150.0,6.0,561,15,17,25,68,6,362,39,28,1
235334,2020,1553.0,27.0,26.0,60.0,224.0,8.0,972.0,166.0,70.0,0.0,480,9,14,27,57,4,302,41,25,1
235343,2014,7915.0,41.0,556.0,342.0,619.0,57.0,3664.0,639.0,734.0,1263.0,1910,13,121,68,133,10,1093,102,138,232
235343,2015,8153.0,53.0,617.0,330.0,686.0,59.0,3600.0,696.0,805.0,1307.0,1912,12,151,81,138,15,974,133,156,252
235343,2016,8050.0,45.0,666.0,344.0,719.0,62.0,3428.0,703.0,669.0,1414.0,2215,15,170,84,180,22,1091,169,167,317
235343,2017,8048.0,41.0,751.0,359.0,751.0,58.0,3333.0,757.0,650.0,1348.0,2149,14,190,64,188,19,1020,172,156,326
235343,2018,8471.0,52.0,834.0,448.0,885.0,72.0,3286.0,868.0,802.0,1224.0,2124,10,212,62,166,24,998,185,158,309
235343,2019,8435.0,53.0,898.0,455.0,1015.0,62.0,3271.0,896.0,655.0,1130.0,2202,11,247,61,223,11,951,228,188,282
235343,2020,7493.0,39.0,906.0,435.0,885.0,57.0,2944.0,855.0,536.0,836.0,2285,7,249,83,252,16,945,220,186,327
235422,2014,1241.0,56.0,20.0,14.0,588.0,1.0,429.0,47.0,78.0,8.0,303,17,7,1,141,1,123,5,5,3
235422,2015,1219.0,70.0,23.0,12.0,584.0,4.0,365.0,50.0,92.0,19.0,330,17,9,7,140,0,138,12,6,1
235422,2016,1124.0,61.0,20.0,10.0,624.0,2.0,323.0,26.0,43.0,15.0,339,13,13,3,136,1,153,11,8,1
235422,2017,1044.0,61.0,22.0,6.0,596.0,0.0,256.0,28.0,61.0,14.0,395,10,15,7,171,2,164,12,14,0
235422,2018,980.0,68.0,23.0,7.0,584.0,0.0,211.0,17.0,58.0,12.0,346,5,12,1,171,0,137,15,3,2
235422,2019,971.0,85.0,17.0,6.0,559.0,0.0,190.0,18.0,92.0,4.0,344,17,17,5,163,0,117,9,14,2
235422,2020,999.0,80.0,27.0,9.0,608.0,0.0,194.0,13.0,65.0,3.0,274,12,9,2,153,0,78,7,12,1
235431,2014,6443.0,41.0,990.0,676.0,733.0,84.0,2180.0,567.0,690.0,482.0,1099,4,155,98,77,14,453,63,113,122
235431,2015,6560.0,32.0,1011.0,685.0,793.0,78.0,2087.0,641.0,703.0,530.0,1543,7,212,159,154,15,544,104,175,173
235431,2016,6750.0,30.0,1041.0,738.0,871.0,87.0,1991.0,750.0,669.0,573.0,1713,8,232,180,166,10,532,146,296,143
235431,2017,6824.0,31.0,1060.0,789.0,956.0,84.0,1826.0,783.0,707.0,588.0,1738,12,252,201,185,16,515,148,253,156
235431,2018,6530.0,32.0,1027.0,809.0,959.0,93.0,1668.0,812.0,685.0,445.0,1487,5,246,153,168,12,445,130,176,152
235431,2019,6310.0,26.0,1015.0,900.0,929.0,92.0,1500.0,823.0,664.0,361.0,1442,6,225,139,168,17,401,152,176,158
235431,2020,5829.0,22.0,999.0,872.0,917.0,97.0,1402.0,716.0,561.0,243.0,1248,3,228,146,150,11,307,154,119,130
235510,2014,414.0,6.0,63.0,72.0,37.0,2.0,197.0,17.0,20.0,0.0,176,4,25,32,11,0,87,9,8,0
235510,2015,372.0,9.0,52.0,72.0,33.0,1.0,169.0,20.0,16.0,0.0,152,2,20,18,12,1,79,6,14,0
235529,2014,295.0,9.0,8.0,12.0,11.0,0.0,236.0,13.0,6.0,0.0,103,4,5,1,4,0,81,6,2,0
235529,2015,248.0,6.0,6.0,10.0,11.0,0.0,201.0,11.0,3.0,0.0,90,3,0,0,2,0,80,4,1,0
235547,2014,1195.0,6.0,118.0,43.0,42.0,0.0,774.0,73.0,65.0,74.0,308,3,34,3,11,0,195,17,19,26
235547,2015,1264.0,9.0,73.0,50.0,41.0,68.0,806.0,80.0,66.0,71.0,298,0,30,6,9,0,194,16,19,24
235547,2016,1258.0,16.0,108.0,66.0,43.0,38.0,788.0,84.0,68.0,47.0,371,0,8,8,6,33,262,17,18,19
235547,2017,1195.0,13.0,147.0,61.0,41.0,18.0,727.0,89.0,75.0,24.0,349,3,12,15,11,23,233,20,13,19
235547,2018,1098.0,11.0,135.0,57.0,40.0,9.0,687.0,71.0,78.0,10.0,340,4,33,10,12,17,216,17,16,15
235547,2019,994.0,8.0,124.0,52.0,31.0,13.0,591.0,97.0,73.0,5.0,384,4,47,6,13,6,242,32,25,9
235547,2020,904.0,8.0,115.0,54.0,21.0,10.0,528.0,92.0,73.0,3.0,306,2,41,8,10,2,202,21,18,2
235699,2014,3660.0,15.0,324.0,111.0,271.0,12.0,2211.0,166.0,485.0,65.0,764,5,69,21,40,1,529,26,59,14
235699,2015,3531.0,16.0,331.0,97.0,247.0,11.0,2167.0,156.0,433.0,73.0,804,4,71,19,59,1,533,36,67,14
235699,2016,3652.0,20.0,358.0,105.0,257.0,12.0,2173.0,162.0,480.0,85.0,838,2,85,20,64,3,529,44,75,16
235699,2017,3697.0,18.0,389.0,89.0,314.0,11.0,2030.0,180.0,580.0,86.0,907,6,76,26,79,4,567,53,72,24
235699,2018,3670.0,15.0,401.0,86.0,308.0,10.0,1885.0,224.0,627.0,114.0,858,5,84,29,82,6,477,40,114,21
235699,2019,3620.0,14.0,394.0,90.0,322.0,11.0,1795.0,211.0,660.0,123.0,888,2,89,21,94,1,480,72,89,40
235699,2020,3319.0,16.0,354.0,93.0,357.0,14.0,1542.0,226.0,622.0,95.0,774,4,91,22,90,1,377,52,88,49
235750,2014,3208.0,33.0,49.0,30.0,244.0,3.0,2467.0,141.0,235.0,6.0,753,12,14,12,46,2,598,21,47,1
235750,2015,2969.0,34.0,62.0,39.0,259.0,4.0,2187.0,166.0,203.0,15.0,821,9,19,12,40,0,659,22,60,0
235750,2016,2787.0,39.0,56.0,23.0,254.0,3.0,2079.0,141.0,173.0,19.0,817,6,15,8,58,0,632,41,55,2
235750,2017,2935.0,39.0,72.0,38.0,291.0,6.0,2144.0,172.0,155.0,18.0,714,12,17,5,60,1,541,28,49,1
235750,2018,2819.0,38.0,60.0,38.0,321.0,8.0,1994.0,184.0,150.0,26.0,685,8,21,4,62,0,504,43,38,5
235750,2019,2703.0,32.0,68.0,33.0,273.0,7.0,1963.0,178.0,121.0,28.0,649,9,15,6,63,1,462,43,40,10
235750,2020,2325.0,18.0,63.0,41.0,241.0,8.0,1733.0,130.0,71.0,20.0,536,6,14,9,41,3,401,36,19,7
235769,2014,211.0,3.0,15.0,36.0,38.0,4.0,111.0,1.0,3.0,0.0,41,1,1,2,10,0,27,0,0,0
235769,2015,211.0,2.0,12.0,33.0,45.0,4.0,66.0,6.0,38.0,5.0,41,0,4,5,5,1,18,0,0,8
236072,2014,6493.0,34.0,592.0,365.0,368.0,17.0,2811.0,408.0,1179.0,719.0,1071,6,101,54,61,3,478,67,136,165
236072,2015,6310.0,27.0,581.0,358.0,393.0,23.0,2642.0,397.0,1195.0,694.0,1225,6,113,49,54,3,518,91,182,209
236072,2016,6266.0,31.0,580.0,339.0,419.0,23.0,2610.0,467.0,1146.0,651.0,1248,9,128,61,84,6,509,74,168,209
236072,2017,6259.0,28.0,512.0,373.0,477.0,20.0,2642.0,456.0,1139.0,612.0,1252,6,146,72,79,3,529,83,172,162
236072,2018,5929.0,31.0,529.0,392.0,471.0,19.0,2426.0,483.0,1106.0,472.0,1189,6,106,50,84,8,489,100,152,194
236072,2019,5693.0,25.0,536.0,384.0,473.0,16.0,2389.0,485.0,1043.0,342.0,1165,4,111,83,96,3,452,78,174,164
236072,2020,5240.0,19.0,494.0,398.0,509.0,10.0,2231.0,498.0,877.0,204.0,890,3,91,53,74,3,359,84,110,113
236133,2014,1862.0,24.0,112.0,83.0,140.0,27.0,1205.0,82.0,133.0,56.0,405,5,22,18,30,8,296,11,6,9
236133,2015,1236.0,15.0,74.0,54.0,90.0,13.0,812.0,52.0,36.0,90.0,361,8,21,7,19,4,271,14,5,12
236133,2016,1226.0,18.0,60.0,60.0,99.0,13.0,786.0,56.0,15.0,119.0,361,4,22,10,18,6,261,19,2,19
236133,2017,1250.0,18.0,82.0,48.0,99.0,19.0,787.0,61.0,9.0,127.0,366,2,23,14,22,0,258,20,6,21
236133,2018,1321.0,20.0,81.0,52.0,110.0,18.0,818.0,86.0,4.0,132.0,359,3,27,15,24,6,243,16,4,21
236133,2019,1339.0,17.0,87.0,57.0,115.0,25.0,787.0,79.0,34.0,138.0,416,7,30,13,35,1,280,20,0,30
236133,2020,1184.0,12.0,79.0,42.0,92.0,10.0,654.0,70.0,137.0,88.0,446,4,53,22,37,6,288,26,1,9
236188,2014,7349.0,87.0,363.0,268.0,489.0,89.0,4995.0,548.0,408.0,102.0,2146,20,112,65,108,23,1546,133,126,13
236188,2015,7177.0,74.0,354.0,240.0,473.0,95.0,4847.0,582.0,387.0,125.0,1705,13,81,41,97,20,1238,110,87,18
236188,2016,6527.0,73.0,339.0,233.0,461.0,78.0,4308.0,589.0,348.0,98.0,2237,21,109,57,122,23,1638,147,97,23
236188,2017,6476.0,74.0,338.0,203.0,556.0,84.0,4179.0,587.0,334.0,121.0,1870,17,105,58,109,26,1293,147,88,27
236188,2018,6620.0,60.0,376.0,227.0,604.0,72.0,4149.0,621.0,395.0,116.0,1884,17,104,51,131,20,1284,161,87,29
236188,2019,6278.0,75.0,344.0,189.0,610.0,62.0,3906.0,662.0,334.0,96.0,1893,20,117,44,130,33,1247,158,104,40
236188,2020,5357.0,50.0,338.0,144.0,533.0,50.0,3382.0,552.0,243.0,65.0,1823,19,111,53,152,22,1203,161,71,31
236230,2014,3242.0,28.0,218.0,95.0,249.0,24.0,2181.0,233.0,52.0,162.0,902,4,50,17,41,7,685,41,11,46
236230,2015,3170.0,29.0,247.0,84.0,247.0,31.0,2118.0,219.0,53.0,142.0,913,7,45,20,65,0,662,58,12,44
236230,2016,3072.0,24.0,284.0,101.0,259.0,31.0,2002.0,223.0,56.0,92.0,891,9,47,17,57,6,618,65,17,55
236230,2017,3122.0,18.0,303.0,112.0,278.0,31.0,1944.0,249.0,83.0,104.0,874,6,59,21,66,3,605,57,19,38
236230,2018,3207.0,17.0,311.0,132.0,364.0,33.0,1867.0,294.0,93.0,96.0,740,6,53,17,54,6,532,42,8,22
