institute_id,year,gr_total,gr_AmerInd_AlaskNtv,gr_Asian,gr_AfrAmer,gr_Hispanic,gr_Hi_PacIsland,gr_White,gr_2orMore,gr_unknown,gr_nonresAlien,co_total,co_AmerInd_AlaskNtv,co_Asian,co_AfrAmer,co_Hispanic,co_Hi_PacIsland,co_White,co_2orMore,co_unknown,co_nonresAlien,hr_total,hr_AmerInd_AlaskNtv,hr_Asian,hr_AfrAmer,hr_Hispanic,hr_Hi_PacIsland,hr_White,hr_2orMore,hr_unknown,hr_nonresAlien
235097,2011,744.0,8.0,40.0,20.0,60.0,0.0,536.0,0.0,78.0,2.0,1610.0,26.0,88.0,65.0,142.0,0.0,1124.0,0.0,157.0,8.0,,,,,,,,,,
235097,2012,656.0,10.0,21.0,16.0,47.0,2.0,464.0,10.0,84.0,2.0,1412.0,31.0,49.0,70.0,109.0,7.0,941.0,30.0,167.0,8.0,752.0,26.0,55.0,36.0,56.0,9.0,1313.0,3.0,7.0,6.0
235097,2013,594.0,3.0,15.0,14.0,56.0,1.0,437.0,18.0,46.0,4.0,1313.0,21.0,44.0,70.0,112.0,10.0,897.0,47.0,97.0,15.0,775.0,24.0,56.0,32.0,64.0,6.0,1360.0,4.0,10.0,16.0
235097,2014,681.0,11.0,29.0,22.0,71.0,2.0,496.0,15.0,32.0,3.0,1488.0,23.0,60.0,78.0,165.0,9.0,1019.0,39.0,82.0,13.0,784.0,24.0,62.0,40.0,78.0,5.0,1374.0,6.0,11.0,15.0
235097,2015,668.0,6.0,14.0,30.0,73.0,4.0,468.0,20.0,48.0,5.0,1459.0,24.0,37.0,87.0,185.0,10.0,940.0,49.0,112.0,15.0,794.0,28.0,66.0,42.0,81.0,5.0,1385.0,14.0,19.0,23.0
235097,2016,709.0,5.0,30.0,38.0,80.0,0.0,520.0,25.0,7.0,4.0,1524.0,26.0,80.0,105.0,193.0,1.0,1035.0,50.0,18.0,16.0,767.0,33.0,48.0,39.0,85.0,5.0,1350.0,12.0,11.0,54.0
235097,2017,772.0,3.0,16.0,12.0,90.0,4.0,584.0,33.0,14.0,16.0,1472.0,11.0,39.0,55.0,198.0,7.0,1029.0,78.0,30.0,25.0,791.0,35.0,69.0,43.0,80.0,24.0,1391.0,14.0,21.0,24.0
235097,2018,686.0,2.0,19.0,16.0,87.0,1.0,507.0,32.0,3.0,19.0,1556.0,16.0,40.0,64.0,247.0,7.0,1047.0,97.0,8.0,30.0,722.0,38.0,41.0,37.0,81.0,9.0,1254.0,13.0,13.0,57.0
235097,2019,786.0,4.0,19.0,20.0,106.0,2.0,571.0,38.0,9.0,17.0,1469.0,13.0,42.0,55.0,211.0,5.0,1004.0,95.0,13.0,31.0,743.0,32.0,64.0,39.0,90.0,5.0,1272.0,23.0,8.0,22.0
235097,2020,852.0,10.0,19.0,33.0,116.0,1.0,602.0,49.0,10.0,12.0,1603.0,21.0,33.0,76.0,246.0,12.0,1073.0,110.0,18.0,14.0,644.0,25.0,56.0,32.0,79.0,3.0,1133.0,21.0,0.0,18.0
235103,2017,128.0,2.0,14.0,5.0,8.0,2.0,76.0,12.0,8.0,1.0,458.0,6.0,48.0,24.0,37.0,7.0,265.0,49.0,21.0,1.0,305.0,4.0,79.0,35.0,52.0,2.0,661.0,18.0,6.0,0.0
